Produto,Categoria do Produto,Preço,Frete,Data da Compra,Vendedor,Local da compra,Avaliação da compra,Tipo de pagamento,Quantidade de parcelas,lat,lon
TV Led UHD 4K,eletronicos,2053.75,106.9404480573,04/02/2021,Rafael Costa,SP,5,cartao_credito,1,-22.19,-48.79
Panela de pressão,utilidades domesticas,111.28,3.5097642912,17/02/2022,João Souza,SP,5,boleto,1,-22.19,-48.79
Panela de pressão,utilidades domesticas,92.34,5.4430921935,17/08/2022,Bruno Rodrigues,SP,4,cartao_credito,1,-22.19,-48.79
Boneca bebê,brinquedos,51.2,3.2573504949,01/04/2021,Rafael Costa,SP,5,cartao_credito,1,-22.19,-48.79
Cômoda,moveis,335.28,15.4370904088,01/10/2022,Beatriz Moraes,PE,4,cartao_credito,3,-8.38,-37.86
Lavadora de roupas,eletrodomesticos,2003.23,107.5543861505,19/09/2022,Felipe Santos,DF,1,cartao_credito,8,-15.83,-47.86
Jogo de panelas,utilidades domesticas,170.82,9.3787770132,29/08/2022,Thiago Silva,ES,5,cartao_credito,4,-19.19,-40.34
Dinossauro Rex,brinquedos,22.22,0.0,21/01/2020,Juliana Costa,RJ,4,cartao_credito,1,-22.25,-42.66
Modelagem preditiva,livros,102.08,6.3238680771,24/06/2022,Beatriz Moraes,SP,5,cartao_credito,1,-22.19,-48.79
Panela de pressão,utilidades domesticas,87.53,4.9494859866,21/08/2020,Thiago Silva,RJ,1,cartao_credito,1,-22.25,-42.66
Mesa de jantar,moveis,396.14,24.2570795737,05/11/2021,Lucas Oliveira,PA,5,cartao_credito,3,-3.79,-52.48
Dashboards com Power BI,livros,45.14,2.9346737258,19/05/2021,Pedro Gomes,BA,5,cartao_credito,1,-13.29,-41.71
Kit banquetas,moveis,447.99,21.4385588316,22/02/2023,Lucas Oliveira,DF,4,cartao_credito,1,-15.83,-47.86
Corda de pular,esporte e lazer,22.75,1.4944949675,21/08/2020,Beatriz Moraes,SP,4,cartao_credito,10,-22.19,-48.79
Iniciando em programação,livros,86.73,5.1492161063,26/08/2022,Camila Ribeiro,SP,1,cartao_credito,5,-22.19,-48.79
Jogo de panelas,utilidades domesticas,157.74,8.9254454439,10/04/2021,Rafael Costa,SP,5,cartao_credito,3,-22.19,-48.79
Bola de basquete,esporte e lazer,81.79,4.8861759678,24/11/2020,Felipe Santos,MG,5,boleto,1,-18.1,-44.38
Fogão,eletrodomesticos,695.63,34.6246438305,07/09/2022,João Souza,MG,5,cartao_credito,2,-18.1,-44.38
Carrinho controle remoto,brinquedos,89.83,5.3142817802,30/08/2022,João Souza,SP,5,cartao_credito,1,-22.19,-48.79
Carrinho controle remoto,brinquedos,107.76,7.137011161,27/08/2022,Mariana Ferreira,ES,5,cartao_credito,2,-19.19,-40.34
Fogão,eletrodomesticos,598.85,32.4180654426,19/11/2022,Pedro Gomes,SP,4,cartao_credito,1,-22.19,-48.79
Bicicleta,esporte e lazer,422.58,20.0855527752,25/11/2021,Felipe Santos,SP,5,cartao_credito,2,-22.19,-48.79
Jogo de copos,utilidades domesticas,48.66,0.0,28/11/2022,Bianca Santos,SP,5,cartao_credito,1,-22.19,-48.79
Panela de pressão,utilidades domesticas,111.95,3.5454397756,15/01/2021,Pedro Gomes,SP,5,cupom,1,-22.19,-48.79
Fone de ouvido,eletronicos,174.17,15.515963913,06/02/2021,João Souza,RJ,3,cartao_credito,3,-22.25,-42.66
Iniciando em programação,livros,81.58,1.9283286408,20/03/2022,Mariana Ferreira,SP,4,cartao_credito,1,-22.19,-48.79
Lava louças,eletrodomesticos,1773.64,92.0254332413,02/04/2022,Bruno Rodrigues,SP,4,cartao_credito,1,-22.19,-48.79
Smart TV,eletronicos,2067.76,110.3851252519,29/04/2022,Felipe Santos,GO,5,cartao_credito,2,-15.98,-49.86
Pandeiro,instrumentos musicais,87.29,2.2323689628,20/01/2020,Rafael Costa,SP,5,cartao_credito,5,-22.19,-48.79
Mochila,esporte e lazer,147.96,8.4095294017,24/12/2022,Thiago Silva,SP,3,cartao_credito,5,-22.19,-48.79
Carrinho controle remoto,brinquedos,116.33,6.7253270575,29/07/2021,Bruno Rodrigues,SP,5,cartao_credito,2,-22.19,-48.79
Tablet ABXY,eletronicos,1456.93,78.264151617,02/06/2021,Camila Ribeiro,MG,1,cartao_credito,9,-18.1,-44.38
Mesa de centro,moveis,262.11,21.758578585,25/02/2020,Beatriz Moraes,BA,1,cartao_credito,8,-13.29,-41.71
Smart TV,eletronicos,2344.16,125.1082446326,21/03/2021,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
Mochila,esporte e lazer,120.48,12.7948119127,22/09/2021,Thiago Silva,SP,1,cartao_credito,4,-22.19,-48.79
Mesa de jantar,moveis,347.09,19.0126028383,26/12/2020,Larissa Alves,SC,5,cartao_credito,1,-27.45,-50.95
Fogão,eletrodomesticos,1365.68,73.001477392,03/01/2020,Juliana Costa,SP,4,boleto,1,-22.19,-48.79
Cama box,moveis,893.09,48.2413678753,16/12/2021,Bianca Santos,GO,2,cartao_credito,1,-15.98,-49.86
Xadrez de madeira,brinquedos,30.69,1.9172760808,16/06/2022,Beatriz Moraes,BA,5,cartao_credito,5,-13.29,-41.71
Fone de ouvido,eletronicos,72.54,1.4469758368,05/12/2022,João Souza,SP,4,cartao_credito,6,-22.19,-48.79
Carrinho controle remoto,brinquedos,115.01,3.7083755699,15/05/2020,Larissa Alves,SP,4,boleto,1,-22.19,-48.79
Cama box,moveis,681.98,37.253231161,26/07/2022,Lucas Oliveira,MG,5,cartao_credito,1,-18.1,-44.38
Celular Plus X42,eletronicos,2345.56,125.4251181338,11/04/2020,Lucas Oliveira,SP,5,cartao_credito,3,-22.19,-48.79
TV Led UHD 4K,eletronicos,3831.87,201.6199887545,15/07/2022,João Souza,SP,5,cartao_credito,1,-22.19,-48.79
Cadeira de escritório,moveis,600.28,29.5475431818,22/08/2022,Mariana Ferreira,SP,5,cartao_credito,2,-22.19,-48.79
Fone de ouvido,eletronicos,154.38,8.5033964714,15/03/2022,Camila Ribeiro,SP,5,cupom,1,-22.19,-48.79
Smart TV,eletronicos,1554.06,80.3334588265,07/09/2020,Camila Ribeiro,RJ,5,cartao_credito,12,-22.25,-42.66
Guarda roupas,moveis,639.28,34.3228626964,02/02/2020,Larissa Alves,DF,1,boleto,1,-15.83,-47.86
Cama king,moveis,1210.47,70.6958213042,07/10/2022,Bruno Rodrigues,RS,1,cartao_credito,3,-30.17,-53.5
Smartwatch,eletronicos,240.74,10.4031198233,15/03/2020,Rafael Costa,SP,3,cartao_credito,1,-22.19,-48.79
Pandeiro,instrumentos musicais,53.15,3.1188544155,04/02/2020,Mariana Ferreira,SC,5,boleto,1,-27.45,-50.95
Ciência de dados com python,livros,63.46,6.5428704095,06/01/2021,Juliana Costa,SP,4,boleto,1,-22.19,-48.79
Mesa de centro,moveis,216.49,12.4158563857,02/10/2022,Felipe Santos,SP,4,cartao_credito,1,-22.19,-48.79
Xadrez de madeira,brinquedos,47.34,0.0,08/02/2022,Rafael Costa,GO,5,cartao_credito,4,-15.98,-49.86
Geladeira,eletrodomesticos,3171.14,169.1424417429,06/11/2021,Bianca Santos,ES,5,cupom,1,-19.19,-40.34
Bola de basquete,esporte e lazer,48.15,2.8469685541,20/04/2022,Bianca Santos,RS,5,boleto,1,-30.17,-53.5
Mesa de jantar,moveis,230.41,9.8530784001,10/06/2020,Bianca Santos,MG,5,cartao_credito,3,-18.1,-44.38
Smartwatch,eletronicos,290.65,16.0073426326,27/12/2021,Thiago Silva,SP,1,cartao_credito,1,-22.19,-48.79
Xadrez de madeira,brinquedos,32.67,0.0,01/12/2022,Isabella Pereira,MG,5,cartao_credito,5,-18.1,-44.38
Corda de pular,esporte e lazer,10.53,0.0,28/02/2023,Rafael Costa,SP,2,cartao_credito,3,-22.19,-48.79
Fogão,eletrodomesticos,645.99,34.68015001,28/11/2021,Juliana Costa,SP,4,cartao_credito,1,-22.19,-48.79
Lavadora de roupas,eletrodomesticos,1877.1,100.636940076,12/05/2022,Camila Ribeiro,DF,5,cartao_credito,8,-15.83,-47.86
Faqueiro,utilidades domesticas,65.9,3.7977535584,05/03/2022,Beatriz Moraes,SP,5,cartao_credito,4,-22.19,-48.79
Headset,eletronicos,280.12,12.4999863523,26/06/2021,Larissa Alves,RS,4,cartao_credito,2,-30.17,-53.5
Corda de pular,esporte e lazer,22.77,1.4955599074,30/08/2021,Camila Ribeiro,SP,5,boleto,1,-22.19,-48.79
Dashboards com Power BI,livros,58.95,0.0,20/07/2021,Bruno Rodrigues,SP,5,cartao_credito,5,-22.19,-48.79
Bicicleta,esporte e lazer,316.25,17.1224870011,10/05/2020,Thiago Silva,SP,5,boleto,1,-22.19,-48.79
Cama king,moveis,737.33,36.8450433801,24/03/2022,Bianca Santos,SP,5,cartao_credito,4,-22.19,-48.79
Mesa de jantar,moveis,470.66,25.5923335898,17/01/2020,Bruno Rodrigues,MG,4,boleto,1,-18.1,-44.38
Mesa de jantar,moveis,457.6,24.8969278796,11/02/2020,Beatriz Moraes,PR,5,cartao_credito,9,-24.89,-51.55
Mesa de jantar,moveis,241.71,10.4547694051,16/01/2023,Lucas Oliveira,RJ,5,cartao_credito,3,-22.25,-42.66
Mesa de centro,moveis,159.34,9.0154801661,14/03/2020,João Souza,RS,5,cartao_credito,10,-30.17,-53.5
Xadrez de madeira,brinquedos,36.27,2.8196835602,05/08/2021,Pedro Gomes,SP,1,cartao_credito,6,-22.19,-48.79
Jogo de tabuleiro,brinquedos,170.02,6.6374925776,16/05/2021,Thiago Silva,SP,5,boleto,1,-22.19,-48.79
Bola de vôlei,esporte e lazer,79.62,5.1279406459,06/11/2021,Isabella Pereira,GO,1,cartao_debito,1,-15.98,-49.86
Fogão,eletrodomesticos,1228.03,62.9733421564,21/06/2022,Camila Ribeiro,MG,5,cupom,1,-18.1,-44.38
Bateria,instrumentos musicais,1438.0,74.1536129819,04/06/2021,Bruno Rodrigues,RN,5,cartao_credito,8,-5.81,-36.59
Fone de ouvido,eletronicos,119.91,6.9159512874,17/01/2020,Bruno Rodrigues,SP,1,cartao_debito,1,-22.19,-48.79
Guitarra,instrumentos musicais,870.23,43.9215685632,10/10/2021,Thiago Silva,ES,5,cartao_credito,1,-19.19,-40.34
Jogo de tabuleiro,brinquedos,316.93,14.460008113,10/04/2021,Felipe Santos,SP,5,cartao_credito,1,-22.19,-48.79
Lavadora de roupas,eletrodomesticos,1646.29,88.1910943202,20/12/2020,Beatriz Moraes,GO,5,cartao_credito,12,-15.98,-49.86
Fone de ouvido,eletronicos,133.35,7.3892631416,06/02/2021,João Souza,RS,5,cartao_credito,10,-30.17,-53.5
Violão,instrumentos musicais,305.43,13.8476677096,07/09/2020,Bruno Rodrigues,SP,3,cartao_credito,10,-22.19,-48.79
Mesa de centro,moveis,193.44,10.5832239631,11/02/2022,Beatriz Moraes,SP,5,boleto,1,-22.19,-48.79
Ciência de dados com python,livros,61.12,6.4182724491,10/12/2022,Felipe Santos,PA,1,boleto,1,-3.79,-52.48
Sofá retrátil,moveis,844.76,51.3605429861,11/07/2022,Rafael Costa,SP,5,boleto,1,-22.19,-48.79
Boneca bebê,brinquedos,76.32,4.3469363074,04/01/2023,Bruno Rodrigues,RS,5,cartao_credito,1,-30.17,-53.5
Impressora,eletronicos,351.11,25.0751655846,19/05/2020,Lucas Oliveira,SC,5,cartao_credito,10,-27.45,-50.95
Fogão,eletrodomesticos,687.33,37.129359259,04/12/2022,Camila Ribeiro,SP,5,cupom,1,-22.19,-48.79
Jogo de panelas,utilidades domesticas,278.03,21.0461964601,22/06/2022,Lucas Oliveira,TO,3,cupom,1,-9.46,-48.26
Iniciando em programação,livros,88.14,2.2776289057,02/05/2021,Rafael Costa,SP,1,cartao_credito,1,-22.19,-48.79
Carrinho controle remoto,brinquedos,112.0,9.1274793816,22/11/2022,Thiago Silva,SP,5,cartao_credito,3,-22.19,-48.79
Cômoda,moveis,421.16,23.1125151313,09/01/2023,João Souza,SP,5,cartao_credito,1,-22.19,-48.79
Jogo de panelas,utilidades domesticas,137.02,10.4597191113,25/02/2023,Juliana Costa,RJ,5,cartao_credito,2,-22.25,-42.66
Poltrona,moveis,284.01,15.405803992,29/07/2022,João Souza,MG,5,boleto,1,-18.1,-44.38
Ciência de dados com python,livros,57.43,0.0,10/12/2022,Mariana Ferreira,RJ,1,cartao_credito,10,-22.25,-42.66
Cômoda,moveis,361.34,16.8247070098,27/05/2022,Larissa Alves,SP,1,cartao_credito,3,-22.19,-48.79
Cômoda,moveis,378.94,17.7618540619,10/08/2022,Camila Ribeiro,GO,5,boleto,1,-15.98,-49.86
Smartwatch,eletronicos,277.01,12.3343882085,19/07/2022,Pedro Gomes,SP,4,cartao_credito,2,-22.19,-48.79
Lavadora de roupas,eletrodomesticos,1727.98,95.1735528613,09/04/2021,João Souza,RJ,5,cartao_credito,6,-22.25,-42.66
Dashboards com Power BI,livros,40.85,0.0,01/04/2021,Mariana Ferreira,SP,5,cartao_credito,1,-22.19,-48.79
Bicicleta,esporte e lazer,663.04,32.8893243744,27/02/2023,Mariana Ferreira,BA,5,cartao_credito,1,-13.29,-41.71
Faqueiro,utilidades domesticas,68.46,1.2297281111,24/03/2021,Beatriz Moraes,PR,5,cartao_credito,6,-24.89,-51.55
Cama king,moveis,1254.58,69.9664270397,02/06/2021,Bruno Rodrigues,SP,5,cupom,1,-22.19,-48.79
Cômoda,moveis,321.12,14.6831130078,09/12/2021,João Souza,CE,4,cartao_credito,3,-5.2,-39.53
Jogo de panelas,utilidades domesticas,237.68,12.9388708713,17/07/2022,Juliana Costa,MG,4,cartao_credito,3,-18.1,-44.38
TV Led UHD 4K,eletronicos,2339.44,122.1525810864,04/04/2020,Felipe Santos,GO,5,cupom,1,-15.98,-49.86
Mochila,esporte e lazer,139.74,5.0251736721,28/01/2023,Larissa Alves,MG,5,boleto,1,-18.1,-44.38
Poltrona,moveis,374.47,20.4705054682,20/01/2022,Lucas Oliveira,SP,5,cartao_credito,8,-22.19,-48.79
Assistente virtual,eletronicos,259.64,14.5120610486,06/04/2022,Isabella Pereira,RJ,5,cartao_credito,2,-22.25,-42.66
Smartwatch,eletronicos,260.28,15.5119213249,25/07/2020,Camila Ribeiro,SP,1,boleto,1,-22.19,-48.79
Celular Plus X42,eletronicos,3327.62,174.7701932421,02/11/2022,Rafael Costa,SP,4,cartao_credito,3,-22.19,-48.79
Poltrona,moveis,332.02,25.7567140431,22/03/2023,Beatriz Moraes,SP,5,cartao_credito,4,-22.19,-48.79
Dinossauro Rex,brinquedos,26.04,4.5503679839,28/03/2020,Thiago Silva,SP,5,boleto,1,-22.19,-48.79
Mesa de jantar,moveis,490.7,23.7127378427,02/12/2020,Larissa Alves,SP,5,boleto,1,-22.19,-48.79
Jogo de tabuleiro,brinquedos,326.66,17.9247668,20/11/2022,Felipe Santos,PE,5,cartao_credito,6,-8.38,-37.86
Cama king,moveis,808.28,43.5695828926,12/07/2021,João Souza,SP,5,cartao_credito,1,-22.19,-48.79
Poltrona,moveis,383.98,20.9768843583,27/03/2021,Camila Ribeiro,SP,5,cartao_credito,1,-22.19,-48.79
Dashboards com Power BI,livros,44.45,2.6499546852,20/01/2022,Bruno Rodrigues,SP,4,boleto,1,-22.19,-48.79
Copo térmico,esporte e lazer,82.88,1.9975497299,24/03/2023,João Souza,MG,5,boleto,1,-18.1,-44.38
Headset,eletronicos,317.83,14.5079304054,24/12/2022,Mariana Ferreira,RJ,1,boleto,1,-22.25,-42.66
Bicicleta,esporte e lazer,634.93,34.091238283,31/03/2022,João Souza,MG,5,cartao_credito,1,-18.1,-44.38
Bateria,instrumentos musicais,1252.62,78.344274817,24/07/2020,Felipe Santos,MG,3,cartao_credito,3,-18.1,-44.38
Iniciando em programação,livros,76.65,4.3701587181,21/04/2020,Larissa Alves,RJ,5,cartao_credito,5,-22.25,-42.66
Sofá retrátil,moveis,829.0,41.7261950997,21/01/2022,Juliana Costa,RJ,5,cupom,1,-22.25,-42.66
Assistente virtual,eletronicos,350.16,16.2294056437,17/02/2021,Lucas Oliveira,RS,1,cartao_credito,8,-30.17,-53.5
Secadora de roupas,eletrodomesticos,1182.28,69.3324675897,10/04/2020,Pedro Gomes,SP,5,cartao_credito,1,-22.19,-48.79
Carrinho controle remoto,brinquedos,114.68,3.6908040627,19/12/2020,Felipe Santos,SP,5,cartao_credito,1,-22.19,-48.79
Jogo de panelas,utilidades domesticas,253.75,11.0958631839,15/05/2021,Larissa Alves,CE,1,cartao_credito,1,-5.2,-39.53
Bicicleta,esporte e lazer,651.17,32.2572825842,30/08/2020,Mariana Ferreira,SP,5,boleto,1,-22.19,-48.79
Guarda roupas,moveis,669.64,36.1825804421,05/09/2020,Felipe Santos,SP,5,cartao_credito,1,-22.19,-48.79
Assistente virtual,eletronicos,239.63,10.3440156626,12/02/2021,Larissa Alves,SP,5,cartao_credito,1,-22.19,-48.79
Celular ABXY,eletronicos,1677.07,89.5820581051,11/11/2021,Lucas Oliveira,SP,5,cartao_credito,3,-22.19,-48.79
TV Led UHD 4K,eletronicos,2563.67,136.7908408544,15/12/2020,Larissa Alves,SP,4,cartao_credito,1,-22.19,-48.79
Pandeiro,instrumentos musicais,90.69,5.1177464801,14/03/2020,João Souza,SP,1,cartao_credito,1,-22.19,-48.79
Micro-ondas,eletrodomesticos,554.75,29.8218944968,30/01/2021,Thiago Silva,SP,4,cartao_credito,1,-22.19,-48.79
Bateria,instrumentos musicais,545.02,26.6051144262,08/11/2022,Juliana Costa,CE,2,boleto,1,-5.2,-39.53
Jogo de panelas,utilidades domesticas,275.69,12.2641021796,08/07/2022,Juliana Costa,MG,1,cartao_credito,1,-18.1,-44.38
Cama box,moveis,834.98,44.9912775682,01/03/2023,Mariana Ferreira,SP,1,cartao_credito,3,-22.19,-48.79
Assistente virtual,eletronicos,393.16,18.5190262824,27/03/2023,Lucas Oliveira,SP,5,cartao_credito,4,-22.19,-48.79
Celular ABXY,eletronicos,1294.21,69.1959149026,21/07/2020,Bianca Santos,RS,5,cartao_credito,2,-30.17,-53.5
Impressora,eletronicos,321.09,14.681515598,30/10/2021,João Souza,SP,1,boleto,1,-22.19,-48.79
Assistente virtual,eletronicos,228.46,12.6959122252,27/02/2021,Pedro Gomes,SC,5,boleto,1,-27.45,-50.95
Impressora,eletronicos,322.04,14.7321002401,01/01/2021,João Souza,SP,3,cartao_credito,1,-22.19,-48.79
Carrinho controle remoto,brinquedos,78.51,4.4635472189,16/08/2021,Juliana Costa,SP,4,cartao_credito,7,-22.19,-48.79
Faqueiro,utilidades domesticas,45.09,0.0,08/12/2020,Beatriz Moraes,DF,5,cartao_credito,1,-15.83,-47.86
Copo térmico,esporte e lazer,36.13,0.0,29/03/2022,Isabella Pereira,SP,5,boleto,1,-22.19,-48.79
Dinossauro Rex,brinquedos,18.59,0.0,17/03/2023,Juliana Costa,PR,4,cartao_credito,2,-24.89,-51.55
Impressora,eletronicos,303.01,13.71880999,05/08/2022,Mariana Ferreira,MT,3,cartao_credito,10,-12.64,-55.42
Bola de vôlei,esporte e lazer,70.28,1.3266376358,04/02/2021,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
Kit banquetas,moveis,305.32,17.1457866492,29/10/2020,Bruno Rodrigues,SP,5,cartao_credito,1,-22.19,-48.79
Assistente virtual,eletronicos,239.94,13.3071876887,22/06/2020,Isabella Pereira,SP,1,cartao_credito,4,-22.19,-48.79
Modelagem preditiva,livros,105.86,6.1629915199,14/12/2021,Felipe Santos,BA,1,cartao_debito,1,-13.29,-41.71
Dashboards com Power BI,livros,45.83,0.0,06/03/2023,Pedro Gomes,RJ,2,cartao_credito,7,-22.25,-42.66
Sofá retrátil,moveis,898.17,45.4092895084,09/02/2023,João Souza,SP,5,cartao_credito,2,-22.19,-48.79
Guarda roupas,moveis,651.0,35.1948960543,06/10/2020,Rafael Costa,PE,4,cartao_credito,2,-8.38,-37.86
Celular Plus X42,eletronicos,3314.85,174.0902291594,13/05/2021,Rafael Costa,PI,5,cartao_credito,3,-6.6,-42.28
Jogo de panelas,utilidades domesticas,150.89,8.5655430871,26/03/2023,Camila Ribeiro,RJ,3,cartao_credito,1,-22.25,-42.66
Headset,eletronicos,210.37,8.7860086885,10/03/2023,Juliana Costa,PR,4,cartao_credito,10,-24.89,-51.55
Cama box,moveis,601.17,29.5949330043,05/01/2021,Bruno Rodrigues,SP,5,cartao_credito,2,-22.19,-48.79
Fogão,eletrodomesticos,1256.07,74.6799998432,19/08/2020,Larissa Alves,MT,5,cartao_credito,4,-12.64,-55.42
Dashboards com Power BI,livros,39.22,0.0,28/01/2020,Lucas Oliveira,ES,5,cartao_credito,6,-19.19,-40.34
Panela de pressão,utilidades domesticas,100.17,5.6168770569,08/04/2020,Larissa Alves,SE,5,cartao_credito,4,-10.57,-37.45
Modelagem preditiva,livros,69.51,3.9899751981,22/06/2021,Thiago Silva,DF,3,cartao_credito,1,-15.83,-47.86
Jogo de copos,utilidades domesticas,30.48,1.9060942126,13/02/2021,Isabella Pereira,SP,5,cartao_credito,1,-22.19,-48.79
Bicicleta,esporte e lazer,732.95,36.6118215569,08/04/2022,Juliana Costa,RS,4,cartao_credito,4,-30.17,-53.5
Guarda roupas,moveis,644.17,34.5888913888,24/11/2020,Pedro Gomes,MG,5,boleto,1,-18.1,-44.38
Modelagem preditiva,livros,95.16,13.1446316136,23/10/2020,João Souza,SP,5,cartao_credito,2,-22.19,-48.79
Impressora,eletronicos,311.31,16.8594468626,28/04/2022,Camila Ribeiro,SC,5,boleto,1,-27.45,-50.95
Smartwatch,eletronicos,164.29,9.6363634243,11/01/2021,Bianca Santos,GO,1,cartao_credito,1,-15.98,-49.86
Guitarra,instrumentos musicais,1163.5,62.8412898973,21/02/2021,Beatriz Moraes,BA,3,cartao_credito,4,-13.29,-41.71
Boneca bebê,brinquedos,72.92,7.04658695,26/06/2022,Larissa Alves,RS,3,cartao_credito,6,-30.17,-53.5
Impressora,eletronicos,302.28,16.3842774319,09/11/2022,Beatriz Moraes,SP,5,cartao_credito,2,-22.19,-48.79
Bateria,instrumentos musicais,686.53,34.140096207,06/11/2022,Beatriz Moraes,SP,4,cartao_credito,2,-22.19,-48.79
Cama king,moveis,1174.44,62.8185227191,21/04/2020,Thiago Silva,SP,4,cartao_credito,4,-22.19,-48.79
Bola de vôlei,esporte e lazer,57.61,4.7203535381,17/12/2022,Beatriz Moraes,SC,1,cartao_credito,2,-27.45,-50.95
Iniciando em programação,livros,54.99,3.4543170574,28/06/2022,Juliana Costa,SP,5,boleto,1,-22.19,-48.79
Kit banquetas,moveis,356.31,16.5568746421,19/07/2020,Larissa Alves,SP,5,cartao_credito,1,-22.19,-48.79
Impressora,eletronicos,301.67,19.2268362776,25/01/2022,Lucas Oliveira,SP,5,cartao_credito,2,-22.19,-48.79
Micro-ondas,eletrodomesticos,925.52,46.8655947286,10/06/2020,Thiago Silva,RJ,1,cartao_credito,1,-22.25,-42.66
Celular ABXY,eletronicos,910.45,46.0631625652,17/12/2020,João Souza,RN,1,cupom,1,-5.81,-36.59
Cubo mágico 8x8,brinquedos,21.7,0.0,05/09/2020,Felipe Santos,SP,5,cartao_credito,1,-22.19,-48.79
Celular ABXY,eletronicos,1084.31,58.2673499829,14/02/2020,Isabella Pereira,RJ,5,cartao_credito,4,-22.25,-42.66
Guarda roupas,moveis,623.62,30.7903279657,25/03/2020,Juliana Costa,RJ,5,cartao_credito,2,-22.25,-42.66
Mochila,esporte e lazer,142.5,8.1188008276,16/06/2022,Felipe Santos,PE,5,cartao_credito,4,-8.38,-37.86
Impressora,eletronicos,372.84,17.4370474132,10/11/2020,Bruno Rodrigues,BA,5,cartao_credito,4,-13.29,-41.71
Micro-ondas,eletrodomesticos,1042.71,58.6849869301,03/04/2022,Bianca Santos,SP,5,cartao_credito,4,-22.19,-48.79
Impressora,eletronicos,407.96,22.2537472168,19/01/2022,Bruno Rodrigues,MG,5,cartao_credito,4,-18.1,-44.38
Boneca bebê,brinquedos,79.53,10.4766686283,27/01/2023,Camila Ribeiro,SP,2,cartao_credito,1,-22.19,-48.79
Cama box,moveis,979.59,52.691325023,09/07/2020,Beatriz Moraes,PI,1,cartao_credito,10,-6.6,-42.28
Lavadora de roupas,eletrodomesticos,1955.53,101.7105285427,24/09/2021,Isabella Pereira,RJ,5,cartao_credito,1,-22.25,-42.66
Mesa de jantar,moveis,222.03,12.1055554528,22/08/2020,Felipe Santos,AL,3,boleto,1,-9.62,-36.82
Dinossauro Rex,brinquedos,25.5,0.0,30/11/2020,Thiago Silva,PR,3,cartao_credito,1,-24.89,-51.55
Jogo de tabuleiro,brinquedos,334.2,18.0782705002,03/01/2023,Camila Ribeiro,SP,5,cartao_credito,1,-22.19,-48.79
Faqueiro,utilidades domesticas,55.14,0.0,03/09/2022,Mariana Ferreira,SP,5,cartao_credito,1,-22.19,-48.79
Headset,eletronicos,192.87,14.749785981,27/06/2021,Felipe Santos,PR,4,cupom,1,-24.89,-51.55
Iniciando em programação,livros,76.49,4.6039669123,28/10/2021,Pedro Gomes,SP,5,cartao_credito,2,-22.19,-48.79
Guarda roupas,moveis,644.77,34.8631672967,14/01/2023,Mariana Ferreira,RS,5,boleto,1,-30.17,-53.5
Celular ABXY,eletronicos,1239.47,72.377663039,07/11/2021,Lucas Oliveira,MT,1,cartao_credito,1,-12.64,-55.42
Impressora,eletronicos,421.85,22.99334793,07/10/2020,Pedro Gomes,SP,4,cartao_credito,5,-22.19,-48.79
Cama king,moveis,734.73,42.2859784583,15/04/2020,Felipe Santos,SP,5,cartao_credito,2,-22.19,-48.79
